% humedad;Tiempo horno;Temp horno
0.17;30;125
0.13;30;125
0.14;30;125
0.12;30;125
0.09;30;130
0.11;30;130
0.13;30;130
0.11;30;130
0.10;30;135
0.08;30;135
0.10;30;135
0.11;30;135
0.13;60;125
0.10;60;125
0.11;60;125
0.11;60;125
0.13;60;130
0.09;60;130
0.09;60;130
0.09;60;130
0.13;60;135
0.10;60;135
0.08;60;135
0.09;60;135
0.11;90;125
0.12;90;125
0.08;90;125
0.08;90;125
0.04;90;130
0.05;90;130
0.05;90;130
0.04;90;130
0.03;90;135
0.04;90;135
0.05;90;135
0.03;90;135
